,000300.SH,000905.SH
2011-04-13,3372.031,5165.207
2011-04-14,3353.56,5150.869
2011-04-15,3358.944,5162.415
2011-04-18,3359.438,5178.894
2011-04-19,3295.812,5116.144
2011-04-20,3295.758,5152.395
2011-04-21,3317.367,5188.111
2011-04-22,3299.942,5165.123
2011-04-25,3249.574,5054.768
2011-04-26,3230.96,4970.572
2011-04-27,3209.503,4913.497
2011-04-28,3161.776,4755.416
2011-04-29,3192.723,4836.866
2011-05-03,3211.132,4920.57
2011-05-04,3129.028,4814.781
2011-05-05,3126.117,4827.212
2011-05-06,3121.396,4849.969
2011-05-09,3129.759,4889.92
2011-05-10,3153.221,4918.674
2011-05-11,3145.085,4929.488
2011-05-12,3101.603,4863.795
2011-05-13,3128.093,4902.564
2011-05-16,3100.463,4900.706
2011-05-17,3116.028,4873.954
2011-05-18,3139.379,4906.189
2011-05-19,3120.639,4879.892
2011-05-20,3121.596,4863.185
2011-05-23,3022.98,4679.527
2011-05-24,3026.223,4672.076
2011-05-25,2990.343,4618.748
2011-05-26,2978.381,4572.942
2011-05-27,2963.308,4428.894
2011-05-30,2954.506,4345.048
2011-05-31,3001.556,4444.276
2011-06-01,3004.173,4490.892
2011-06-02,2955.705,4429.999
2011-06-03,2986.349,4506.196
2011-06-07,3004.262,4547.303
2011-06-08,3008.652,4562.972
2011-06-09,2951.889,4456.73
2011-06-10,2961.932,4469.049
2011-06-13,2950.348,4468.787
2011-06-14,2993.559,4540.939
2011-06-15,2963.119,4499.694
2011-06-16,2917.578,4402.143
2011-06-17,2892.157,4337.367
2011-06-20,2874.896,4278.753
2011-06-21,2909.073,4338.422
2011-06-22,2908.582,4321.219
2011-06-23,2957.629,4402.938
2011-06-24,3027.47,4509.18
2011-06-27,3036.491,4568.189
2011-06-28,3041.734,4574.477
2011-06-29,3000.169,4511.545
2011-06-30,3044.089,4579.332
2011-07-01,3049.745,4604.746
2011-07-04,3121.98,4719.391
2011-07-05,3122.5,4749.424
2011-07-06,3113.712,4760.917
2011-07-07,3101.68,4761.452
2011-07-08,3109.183,4756.614
2011-07-11,3113.206,4799.42
2011-07-12,3056.905,4731.118
2011-07-13,3106.247,4825.419
2011-07-14,3115.745,4866.165
2011-07-15,3128.889,4896.043
2011-07-18,3122.6,4895.26
2011-07-19,3095.125,4843.705
2011-07-20,3091.567,4849.057
2011-07-21,3059.139,4784.388
2011-07-22,3067.985,4800.938
2011-07-25,2968.289,4613.73
2011-07-26,2977.766,4633.372
2011-07-27,3000.052,4710.379
2011-07-28,2981.002,4680.898
2011-07-29,2972.079,4628.32
2011-08-01,2977.721,4644.462
2011-08-02,2956.383,4610.783
2011-08-03,2954.87,4625.173
2011-08-04,2960.309,4649.425
2011-08-05,2897.417,4559.018
2011-08-08,2793.897,4330.771
2011-08-09,2798.19,4317.107
2011-08-10,2824.12,4378.698
2011-08-11,2866.924,4454.394
2011-08-12,2875.365,4505.886
2011-08-15,2917.883,4571.719
2011-08-16,2897.581,4533.321
2011-08-17,2886.013,4513.485
2011-08-18,2834.254,4436.101
2011-08-19,2807.664,4395.019
2011-08-22,2777.787,4363.959
2011-08-23,2821.003,4434.922
2011-08-24,2810.016,4427.978
2011-08-25,2903.837,4520.171
2011-08-26,2901.216,4530.423
2011-08-29,2852.809,4490.158
2011-08-30,2841.74,4451.726
2011-08-31,2846.776,4430.538
2011-09-01,2834.535,4395.069
2011-09-02,2803.854,4344.977
2011-09-05,2743.817,4238.069
2011-09-06,2723.303,4204.908
2011-09-07,2779.09,4306.361
2011-09-08,2756.105,4260.155
2011-09-09,2751.095,4233.748
2011-09-13,2720.283,4164.288
2011-09-14,2733.108,4212.129
2011-09-15,2729.051,4215.5
2011-09-16,2733.987,4214.816
